EmployeeID,Name,Department,Position,Salary,Experience,Performance,HireDate
1,Employee_1,Marketing,Manager,77567.26291871468,18,3.529282925250463,2021-10-16
2,Employee_2,Engineering,Director,80196.33095344115,17,3.2713021960167037,2021-02-12
3,Employee_3,Marketing,Senior,73873.88803862115,19,3.6292107993907257,2021-01-17
4,Employee_4,Sales,Junior,58582.24000558833,6,3.154303165496464,2018-05-19
5,Employee_5,Finance,Manager,41111.45347089684,8,5.0,2021-02-06
6,Employee_6,Engineering,Junior,58808.68109054886,11,2.8291010611203755,2022-03-05
7,Employee_7,Marketing,Lead,66749.82828437784,2,4.443539574512342,2019-06-20
8,Employee_8,Finance,Manager,40000.0,15,4.185167850519029,2018-05-25
9,Employee_9,Engineering,Lead,70066.1211166334,6,3.488910292396583,2020-05-19
10,Employee_10,Finance,Senior,98108.93420065014,4,2.8078327569182027,2019-10-19
11,Employee_11,Engineering,Manager,89180.44763584681,6,2.8853957436865842,2018-02-26
12,Employee_12,HR,Lead,62594.85310646232,18,3.0856261606267923,2019-09-13
13,Employee_13,Engineering,Lead,76173.4074603807,16,2.0714069744429895,2020-10-27
14,Employee_14,Marketing,Senior,61095.88576445001,15,2.6972276593605673,2019-06-27
15,Employee_15,Finance,Junior,78719.0183333924,18,2.314018787709086,2019-03-24
16,Employee_16,Finance,Junior,113502.69559360079,17,4.576700002542173,2021-11-10
17,Employee_17,Finance,Manager,99212.4700656219,18,3.994769913910575,2021-08-24
18,Employee_18,Sales,Senior,88019.85764231882,3,4.1287792790923685,2020-05-24
19,Employee_19,Sales,Manager,62677.877190407045,0,3.971065561233558,2019-10-02
20,Employee_20,Marketing,Junior,93748.45982362096,3,3.6335740986673306,2021-08-19
21,Employee_21,HR,Senior,40000.0,3,4.66854426570331,2022-07-16
22,Employee_22,Sales,Director,68691.16295022774,8,3.01138987541461,2021-11-30
23,Employee_23,Engineering,Senior,89592.78549559874,7,3.585335724293636,2019-09-04
24,Employee_24,Marketing,Senior,93510.53035119378,1,4.097647062259298,2022-08-30
25,Employee_25,HR,Director,91747.11225539353,5,2.4430326145150967,2020-04-17
26,Employee_26,Engineering,Lead,82370.76723024236,10,5.0,2022-11-13
27,Employee_27,Finance,Lead,70106.87552290293,3,3.5228526102220687,2022-05-06
28,Employee_28,Sales,Lead,88449.39924566222,13,3.613591560460474,2020-02-20
29,Employee_29,Engineering,Junior,51178.4739853425,8,4.505502425339937,2020-04-17
30,Employee_30,HR,Senior,53883.06841766875,1,4.231964266408179,2019-05-26
31,Employee_31,Marketing,Director,76543.36691150742,0,3.5304624155171673,2021-01-02
32,Employee_32,Engineering,Junior,79329.94106771868,3,3.604103550478434,2020-03-23
33,Employee_33,Marketing,Director,40000.0,11,2.2966811752416167,2019-07-19
34,Employee_34,Finance,Junior,86378.65952373797,4,3.054827377720019,2018-09-23
35,Employee_35,HR,Junior,94318.20944798483,8,3.9137681729271683,2021-06-05
36,Employee_36,HR,Junior,73067.86906334262,3,3.855114271234309,2021-05-02
37,Employee_37,Sales,Director,134361.65708209982,15,4.47693260000327,2021-10-30
38,Employee_38,HR,Manager,57926.62234212035,1,3.4035991534213403,2022-11-11
39,Employee_39,Engineering,Junior,65972.82091532827,15,2.390170789255307,2018-01-11
40,Employee_40,Engineering,Lead,65123.327346819766,15,4.345384344620542,2018-10-30
41,Employee_41,Engineering,Senior,73095.30971772457,10,4.6488714769456125,2021-10-15
